,,,,,,,,,,,,, Cases ,,,,,,,,,,,,
,,,,,,,,,,,,," 466,447 "," 348,258 "," 450,425 "," 471,999 "," 405,982 "," 576,109 "," 388,876 "," 425,828 "," 324,297 "," 549,971 "," 450,617 "," 387,248 "," 5,246,057 "
Batavia,68821627,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0, CDA Retail  , CDA Retail ,KNR BOUIL Roast GAR Zero Salt 12p 160g,,0.0019196,2.3%, 117 , 200 , 275 , 449 , 97 , 472 , 293 , 177 , 48 , 69 , 125 , 13 ," 2,335 "
Batavia,64810586,,Granulated Bases/Bouillon,Knorr Caldo 25lb,0,4.4lb, UFS , UFS ,Knorr Caldo DE Pollo 216p 2kg PAL,,0.0088000,2.0%, -   , -   , -   , -   , -   , -   , 12 , -   , -   , -   , -   , -   , 12 
Batavia,62681584,,Granulated Bases/Bouillon,Knorr Caldo,13,0, UFS , UFS ,Knorr Caldo De Pollo 1p 25lb,,0.0113399,2.0%,4055,4242,5493,5857,5967,5468,6915,7007,6661,6507,6606,6606," 71,384 "
Batavia,62696764,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,Knorr PROF Caldo de Vegetales 4p 4.4lb,,0.0079833,2.0%,428,348,33,744,641,350,268,217,152,399,399,399," 4,378 "
Batavia,62696766,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,KNR PROF Caldo DE VEG CCC 4p 4.4lb,,0.0079833,2.0%,253,470,566,403,478,409,402,515,426,500,475,475," 5,372 "
Lerma,64351218,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb, UFS , UFS ,Knorr PROF Caldo DE Tomate CCC 4p 7.9lb,,0.0143337,2.0%,285,301,416,570,518,447,481,263,243,300,50,50," 3,924 "
Batavia,68511594,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,KNR Caldo de Camaron 4 4.4lb,,0.0079833,2.0%,1077,1086,1233,1427,1246,1220,1328,1224,1227,1337,1728,1123," 15,256 "
Batavia,68511595,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,Knorr Caldo de Res 4p 4.4lb,,0.0079833,2.0%,4625,4601,5004,5128,5628,5083,4800,5819,6304,7729,7035,5962," 67,718 "
Lerma,67212772,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb, UFS , UFS ,Knorr Caldo de Pollo 4 7.9lb Display,,0.0143337,2.0%,18033,18917,24327,31394,18282,15321,19361,21835,25693,26424,23130.6,20930," 263,648 "
Lerma,67212719,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb, UFS , UFS ,Knorr Caldo de Pollo 4 7.9lb,,0.0143337,2.0%,8927,8316,8725,9206,9405,8686,7124,7849,9606,8798,9331,7981," 103,954 "
Batavia,68374656,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,KNORR CALDO DE POLLO 4 4.4LB,,0.0079833,2.0%,16433,15172,18359,18272,19119,16940,19010,16329,17975,19777.00882,18802,21570," 217,758 "
Batavia,68511599,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,KNORR CALDO DE TOMATE 4 4.4lb,,0.0079833,2.0%,2593,2431,2801,3213,2632,2990,2736,3079,2927,3165,3094,2786," 34,447 "
Batavia,68511591,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb, UFS , UFS ,KNORR CALDO DE TOMATE 4 4.4lb,,0.0079833,2.0%,8442,7650,9599,10065,9498,9007,9780,8639,10600,8511,10242,9638," 111,671 "
Batavia,64902462,,Granulated Bases/Bouillon,Knorr Caldo 25lb,0,25 lb, UFS , UFS ,Knorr Caldo DE Tomate CON POLLO 1p 25lb,,0.0125000,2.0%,,0,0,0,0,0,21,61,262,665,653,653," 2,315 "
Lerma,67153824,,Sabor,Small Granulated,Mateer 1,7.9oz, UI , UI ,KNORR LAT CKN GR RDC SOD 12 7.9Z,,0.0026876,3.0%,0,5,3,3,8,5,3,3,0,0,5,1, 36 
Indy,64784931,,Sabor,Small Granulated,15,15.9oz, UI , UI ,KNR MEX BOUILLON BEEF 12 15.9Z,,0.0054091,3.0%,,,,,,5,2,2,0,5,4,38, 56 
Lerma,69664935,,Sabor,Small Granulated,Mateer 1,15.9oz, UI , UI ,KNR MEX BOUILLON BEEF 12 15.9Z,,0.0054091,3.0%,0,0,0,3,10,,,,,,,, 13 
Lerma,67552959,,Sabor,Small Granulated,Mateer 1,7.9oz, UI , UI ,KNR GRAN BOUILLON SHRIMP 12 7.9OZ,,0.0026876,3.0%,3,0,3,0,0,5,0,2,2,2,0,2, 19 
Lerma,67841924,,Sabor,Small Granulated,Mateer 1,3.5oz, UI , UI ,KNORR MEX BOUIL CHK 24P 3.5Z,,0.0023814,3.0%,0,16,0,32,0,0,48,0,0,0,0,66, 162 
Lerma,67821459,,Sabor,Small Granulated,Mateer 1,7.9oz, UI , UI ,KNORR MEX BOUIL CHK 12 7.9Z,,0.0026876,3.0%,0,86,81,88,10,170,0,66,3,80,5,44, 633 
Lerma,67212715,,Sabor,Small Granulated,Mateer 1,7.9oz, UI , UI ,KN MEX BOUILLON TOM/CHK 12P 7.9Z,,0.0026876,3.0%,0,111,1,111,0,81,132,45,0,110,0,39, 630 
Lerma,67212718,,Sabor,Small Granulated,Mateer 1,7.9oz, UI , UI ,KNORR MEX BOUILLON BEEF 12 7.9Z,,0.0026876,3.0%,0,28,15,22,5,5,25,13,2,0,3,97, 215 
Lerma,69559816,,Sabor,Small Granulated,Mateer 1,15.9oz, UI , UI ,KNORR MEX BOUILLON CHK 12 15.9Z,,0.0054091,3.0%,0,62,40,73,13,,,,,,,, 188 
Indy,64784933,,Sabor,Small Granulated,15,15.9oz, UI , UI ,KNORR MEX BOUILLON CHK 12 15.9Z,,0.0054091,3.0%,,,,,,10,84,2,5,38,3,30, 172 
Indy,64784932,,Sabor,Small Granulated,15,15.9oz, UI , UI ,KNORR BOUIL TOMATO/CHICKEN 12P 15.9Z,,0.0054091,3.0%,,,,,,0,105,35,0,91,0,0, 231 
Lerma,64316829,,Sabor,Small Granulated,Mateer 1,15.9oz, UI , UI ,KNORR BOUIL TOMATO/CHICKEN 12P 15.9Z,,0.0054091,3.0%,0,84,35,98,0,,,,,,,, 217 
